Header,Column1,Match Match,Red Alliance Red Alliance Blue Alliance,Red Alliance Red Alliance Blue Alliance2,Red Alliance Red Alliance Blue Alliance3,Red Alliance Red Alliance Blue Alliance4,Red Alliance Red Alliance Blue Alliance5,Red Alliance Red Alliance Blue Alliance6,Blue Alliance Red Alliance Blue Alliance,Blue Alliance Red Alliance Blue Alliance2,Blue Alliance Red Alliance Blue Alliance3,Blue Alliance Red Alliance Blue Alliance4,Blue Alliance Red Alliance Blue Alliance5,Blue Alliance Red Alliance Blue Alliance6,Scores Red Score Blue Score,Scores Red Score Blue Score2
Qualifications,,Quals 63,3354,3354,3354,3354,8293,8293,8293,8293,3933,3933,3933,3933,32,32
Qualifications,,Quals 63,8734,8734,8734,8734,8740,8740,8740,8740,3478,3478,3478,3478,28,28
Qualifications,,Quals 64,4403,4403,6702,6702,5948,5948,3510,3510,6017,6017,4775,4775,23,24
Qualifications,,Quals 64,4403,4403,4403,4403,6702,6702,6702,6702,5948,5948,5948,5948,23,23
Qualifications,,Quals 64,3510,3510,3510,3510,6017,6017,6017,6017,4775,4775,4775,4775,24,24
Qualifications,,Quals 65,6832,6832,6676,6676,8244,8244,5696,5696,6348,6348,6170,6170,26,45
Qualifications,,Quals 65,6832,6832,6832,6832,6676,6676,6676,6676,8244,8244,8244,8244,26,26
Qualifications,,Quals 65,5696,5696,5696,5696,6348,6348,6348,6348,6170,6170,6170,6170,45,45
Qualifications,,Quals 66,8776,8776,2283,2283,4731,4731,8741,8741,7725,7725,4010,4010,26,18
Qualifications,,Quals 66,8776,8776,8776,8776,2283,2283,2283,2283,4731,4731,4731,4731,26,26
Qualifications,,Quals 66,8741,8741,8741,8741,7725,7725,7725,7725,4010,4010,4010,4010,18,18
Qualifications,,Quals 67,5932,5932,6106,6106,5887,5887,3794,3794,6606,6606,6647,6647,19,24
Qualifications,,Quals 67,5932,5932,5932,5932,6106,6106,6106,6106,5887,5887,5887,5887,19,19
Qualifications,,Quals 67,3794,3794,3794,3794,6606,6606,6606,6606,6647,6647,6647,6647,24,24
